kingdom,order,family,class,genus_matched,fa,ecosystem,mean_concentration,moss,lichen
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,ala,Freshwater,0,no,no
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,dha,Freshwater,0,no,no
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,epa,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,ala,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,dha,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,ala,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,dha,Freshwater,0.5587082975,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,ala,Freshwater,23.64,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,ala,Freshwater,7.28,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,ala,Freshwater,5.994174835727272,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,epa,Freshwater,0.07008204127272727,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,ala,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,ala,Freshwater,8.49,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,epa,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,ala,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,dha,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,epa,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,ala,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,dha,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,epa,Freshwater,0,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,ala,Freshwater,7.737,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,dha,Freshwater,0,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,ala,Freshwater,22.655738782041666,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,epa,Freshwater,0.017150824166666665,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,ala,Freshwater,9.3576,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Aphanizomenon,ala,Freshwater,30.8,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Aphanizomenon,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Aphanizomenon,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Cylindrospermum,ala,Freshwater,13.4,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Cylindrospermum,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Cylindrospermum,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Nostoc,ala,Freshwater,9.990643317086956,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Nostoc,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Nostoc,epa,Freshwater,0.06567826086956521,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Lyngbya,ala,Freshwater,13.47,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Lyngbya,dha,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Lyngbya,epa,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Oscillatoria,ala,Freshwater,11.765260029999999,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Oscillatoria,dha,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Oscillatoria,epa,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Planktothrix,ala,Freshwater,31.5,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Planktothrix,dha,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Planktothrix,epa,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,ala,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,ala,Marine,13.253571428571428,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,dha,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,dha,Marine,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,epa,Freshwater,0,no,no
Bacteria,Nostocales,Oscillatoriaceae,Cyanophyceae,Spirulina,epa,Marine,0,no,no
Bacteria,Nostocales,Rivulariaceae,Cyanophyceae,Calothrix,ala,Freshwater,4.9,no,no
Bacteria,Nostocales,Rivulariaceae,Cyanophyceae,Calothrix,dha,Freshwater,0,no,no
Bacteria,Nostocales,Rivulariaceae,Cyanophyceae,Calothrix,epa,Freshwater,0,no,no
Bacteria,Rhizobiales,Methylocystaceae,Alphaproteobacteria,Methylosinus,ala,Freshwater,0,no,no
Bacteria,Rhizobiales,Methylocystaceae,Alphaproteobacteria,Methylosinus,dha,Freshwater,0,no,no
Bacteria,Rhizobiales,Methylocystaceae,Alphaproteobacteria,Methylosinus,epa,Freshwater,0,no,no
Chromista,Achnanthales,Cocconeidaceae,Bacillariophyceae,Cocconeis,ala,Marine,0,no,no
Chromista,Achnanthales,Cocconeidaceae,Bacillariophyceae,Cocconeis,dha,Marine,1.69312,no,no
Chromista,Achnanthales,Cocconeidaceae,Bacillariophyceae,Cocconeis,epa,Marine,6.57712,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Cylindrotheca,ala,Marine,0.02025,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Cylindrotheca,dha,Marine,0.027,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Cylindrotheca,epa,Marine,0.323976,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Nitzschia,ala,Marine,1.4633333333333334,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Nitzschia,dha,Marine,0.9555555555555556,no,no
Chromista,Bacillariales,Bacillariaceae,Bacillariophyceae,Nitzschia,epa,Marine,16.75095238095238,no,no
Chromista,Chaetocerotales,Chaetocerotaceae,Bacillariophyceae,Chaetoceros,ala,Marine,1.1731345837906977,no,no
Chromista,Chaetocerotales,Chaetocerotaceae,Bacillariophyceae,Chaetoceros,dha,Marine,0.889017739383721,no,no
Chromista,Chaetocerotales,Chaetocerotaceae,Bacillariophyceae,Chaetoceros,epa,Marine,9.340381060174419,no,no
Chromista,Chromalinales,Chromulinaceae,Chrysophyceae,Chromulina,ala,Freshwater,2.3215236079999997,no,no
Chromista,Chromalinales,Chromulinaceae,Chrysophyceae,Chromulina,dha,Freshwater,2.2530658425000003,no,no
Chromista,Chromalinales,Chromulinaceae,Chrysophyceae,Chromulina,epa,Freshwater,0,no,no
Chromista,Coscinodiscales,Coscinodiscaceae,Bacillariophyceae,Coscinodiscus,ala,Marine,2.33,no,no
Chromista,Coscinodiscales,Coscinodiscaceae,Bacillariophyceae,Coscinodiscus,dha,Marine,2.87,no,no
Chromista,Coscinodiscales,Coscinodiscaceae,Bacillariophyceae,Coscinodiscus,epa,Marine,13.59,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Chroomonas,ala,Marine,14.6946,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Chroomonas,dha,Marine,1.57735,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Chroomonas,epa,Marine,8.95425,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Cryptomonas,ala,Freshwater,25.18042134096875,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Cryptomonas,dha,Freshwater,3.57953849975,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Cryptomonas,epa,Freshwater,1.3943417296875,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,ala,Freshwater,34.2658562946,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,ala,Marine,13.27213135453846,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,dha,Freshwater,2.5529626282,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,dha,Marine,4.9782293478461535,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,epa,Freshwater,16.3304046704,no,no
Chromista,Cryptomonadales,Cryptomonadaceae,Cryptophyceae,Rhodomonas,epa,Marine,6.5713518394615384,no,no
Chromista,Desmarestiales,Desmarestiaceae,Phaeophyceae,Desmarestia,ala,Marine,7.6000000000000005,no,no
Chromista,Desmarestiales,Desmarestiaceae,Phaeophyceae,Desmarestia,dha,Marine,0,no,no
Chromista,Desmarestiales,Desmarestiaceae,Phaeophyceae,Desmarestia,epa,Marine,15.15,no,no
Chromista,Dictyosiphonales,Dictyosiphonaceae,Phaeophyceae,Dictyosiphon,ala,Marine,8.8,no,no
Chromista,Dictyosiphonales,Dictyosiphonaceae,Phaeophyceae,Dictyosiphon,dha,Marine,0,no,no
Chromista,Dictyosiphonales,Dictyosiphonaceae,Phaeophyceae,Dictyosiphon,epa,Marine,18.5,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Myelophycus,ala,Marine,7,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Myelophycus,dha,Marine,0,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Myelophycus,epa,Marine,23.8,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Punctaria,ala,Marine,5.2,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Punctaria,dha,Marine,0,no,no
Chromista,Dictyosiphonales,Punctariaceae,Phaeophyceae,Punctaria,epa,Marine,6.699999999999999,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyopteris,ala,Marine,9.5,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyopteris,dha,Marine,0,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyopteris,epa,Marine,9.8,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyota,ala,Marine,0,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyota,dha,Marine,0,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Dictyota,epa,Marine,3.285,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Taonia,ala,Marine,0,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Taonia,dha,Marine,0.84,no,no
Chromista,Dictyotales,Dictyotaceae,Phaeophyceae,Taonia,epa,Marine,13.55,no,no
Chromista,Ectocarpales,Chordariaceae,Phaeophyceae,Analipus,ala,Marine,6.3,no,no
Chromista,Ectocarpales,Chordariaceae,Phaeophyceae,Analipus,dha,Marine,0,no,no
Chromista,Ectocarpales,Chordariaceae,Phaeophyceae,Analipus,epa,Marine,8,no,no
Chromista,Ectocarpales,Corynophlaeaceae,Phaeophyceae,Leathesia,ala,Marine,3.4,no,no
Chromista,Ectocarpales,Corynophlaeaceae,Phaeophyceae,Leathesia,dha,Marine,0,no,no
Chromista,Ectocarpales,Corynophlaeaceae,Phaeophyceae,Leathesia,epa,Marine,9.95,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Diatoma,ala,Freshwater,0.3,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Diatoma,dha,Freshwater,0.9,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Diatoma,epa,Freshwater,40.6,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Fragilaria,ala,Freshwater,0,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Fragilaria,dha,Freshwater,0.9,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Fragilaria,epa,Freshwater,14.1,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Synedra,ala,Marine,1.597829299,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Synedra,dha,Marine,1.49770898,no,no
Chromista,Fragilariales,Fragilariaceae,Bacillariophyceae,Synedra,epa,Marine,11.01292807,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Cystoseira,ala,Marine,10.9,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Cystoseira,dha,Marine,0,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Cystoseira,epa,Marine,10.6,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Halidrys,ala,Marine,5.8,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Halidrys,dha,Marine,0,no,no
Chromista,Fucales,Cystoseiraceae,Phaeophyceae,Halidrys,epa,Marine,3.6,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Ascophyllum,ala,Marine,2,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Ascophyllum,dha,Marine,0,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Ascophyllum,epa,Marine,4,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Fucus,ala,Marine,4.5920000000000005,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Fucus,dha,Marine,0.04,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Fucus,epa,Marine,5.214,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Pelvetia,ala,Marine,2.3,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Pelvetia,dha,Marine,0,no,no
Chromista,Fucales,Fucaceae,Phaeophyceae,Pelvetia,epa,Marine,1.9,no,no
Chromista,Fucales,Himanthaliaceae,Phaeophyceae,Himanthalia,ala,Marine,7.779999999999999,no,no
Chromista,Fucales,Himanthaliaceae,Phaeophyceae,Himanthalia,dha,Marine,0,no,no
Chromista,Fucales,Himanthaliaceae,Phaeophyceae,Himanthalia,epa,Marine,4.135,no,no
Chromista,Fucales,Sargassaceae,Phaeophyceae,Sargassum,ala,Marine,5.6675,no,no
Chromista,Fucales,Sargassaceae,Phaeophyceae,Sargassum,dha,Marine,1.2191666666666667,no,no
Chromista,Fucales,Sargassaceae,Phaeophyceae,Sargassum,epa,Marine,6.3925,no,no
Chromista,Gonyaulacales,Calciodinellaceae,Dinophyceae,Scrippsiella,ala,Marine,3.2208054795,no,no
Chromista,Gonyaulacales,Calciodinellaceae,Dinophyceae,Scrippsiella,dha,Marine,24.870360595,no,no
Chromista,Gonyaulacales,Calciodinellaceae,Dinophyceae,Scrippsiella,epa,Marine,1.2598571718333333,no,no
Chromista,Gonyaulacales,Goniodomataceae,Dinophyceae,Alexandrium,ala,Marine,1.076035982,no,no
Chromista,Gonyaulacales,Goniodomataceae,Dinophyceae,Alexandrium,dha,Marine,16.69289309,no,no
Chromista,Gonyaulacales,Goniodomataceae,Dinophyceae,Alexandrium,epa,Marine,3.549248908,no,no
Chromista,Gonyaulacales,Pyrophacaceae,Dinophyceae,Fragilidium,ala,Marine,0.3,no,no
Chromista,Gonyaulacales,Pyrophacaceae,Dinophyceae,Fragilidium,dha,Marine,26.3,no,no
Chromista,Gonyaulacales,Pyrophacaceae,Dinophyceae,Fragilidium,epa,Marine,20.9,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Amphidinium,ala,Marine,2.8504048583333335,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Amphidinium,dha,Marine,15.326135852499998,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Amphidinium,epa,Marine,8.577916666666667,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Gymnodinium,ala,Marine,2.5386382523,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Gymnodinium,dha,Marine,20.979264156,no,no
Chromista,Gymnodiniales,Gymnodiniaceae,Dinophyceae,Gymnodinium,epa,Marine,10.6041817147,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,ala,Freshwater,21.99572709,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,ala,Marine,4.932727675356165,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,dha,Freshwater,15.646590824499999,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,dha,Marine,8.887152559,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,epa,Freshwater,2.6230841375000002,no,no
Chromista,Isochrysidales,Isochrysidaceae,Prymnesiophyceae,Isochrysis,epa,Marine,1.5819619979436619,no,no
Chromista,Laminariales,Alariaceae,Phaeophyceae,Alaria,ala,Marine,9.3,no,no
Chromista,Laminariales,Alariaceae,Phaeophyceae,Alaria,dha,Marine,0.1,no,no
Chromista,Laminariales,Alariaceae,Phaeophyceae,Alaria,epa,Marine,12.899999999999999,no,no
Chromista,Laminariales,Chordaceae,Phaeophyceae,Chorda,ala,Marine,8,no,no
Chromista,Laminariales,Chordaceae,Phaeophyceae,Chorda,dha,Marine,0,no,no
Chromista,Laminariales,Chordaceae,Phaeophyceae,Chorda,epa,Marine,13.2,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Agarum,ala,Marine,4.1,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Agarum,dha,Marine,0,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Agarum,epa,Marine,9.2,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Costaria,ala,Marine,3.8,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Costaria,dha,Marine,0,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Costaria,epa,Marine,5.6,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Laminaria,ala,Marine,5.954615384615384,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Laminaria,dha,Marine,0.023076923076923075,no,no
Chromista,Laminariales,Laminariaceae,Phaeophyceae,Laminaria,epa,Marine,14.932307692307692,no,no
Chromista,Laminariales,Lessoniaceae,Phaeophyceae,Nereocystis,ala,Marine,7.57,no,no
Chromista,Laminariales,Lessoniaceae,Phaeophyceae,Nereocystis,dha,Marine,0.1,no,no
Chromista,Laminariales,Lessoniaceae,Phaeophyceae,Nereocystis,epa,Marine,12.58,no,no
Chromista,Melosirales,Melosiraceae,Bacillariophyceae,Melosira,ala,Marine,0.1796,no,no
Chromista,Melosirales,Melosiraceae,Bacillariophyceae,Melosira,dha,Marine,0.259389,no,no
Chromista,Melosirales,Melosiraceae,Bacillariophyceae,Melosira,epa,Marine,1.124019,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Amphiprora,ala,Marine,1.4,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Amphiprora,dha,Marine,1.9,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Amphiprora,epa,Marine,30,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Navicula,ala,Marine,0.6997402222222222,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Navicula,dha,Marine,1.0083505714285714,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Navicula,epa,Marine,10.48653111111111,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Seminavis,ala,Marine,0.215984,no,no
Chromista,Naviculales,Naviculaceae,Bacillariophyceae,Seminavis,dha,Marine,0.03375,no,no
